time,tavg_w,tmin_w,tmax_w,prcp_w,wdir_w,wspd_w,pres_w
2021-05-01T00:00:00.000000000,17.2,11.9,22.8,0.0,,14.2,1014.0
2021-05-02T00:00:00.000000000,16.3,10.8,23.2,0.0,,15.7,1015.9
2021-05-03T00:00:00.000000000,15.3,12.7,20.1,6.5,,9.7,1017.7
2021-05-04T00:00:00.000000000,16.5,12.0,20.9,0.0,,12.1,1018.0
2021-05-05T00:00:00.000000000,16.7,12.3,21.7,0.0,,13.8,1016.5
2021-05-06T00:00:00.000000000,17.9,12.7,23.6,0.0,,13.3,1017.2
2021-05-07T00:00:00.000000000,18.4,14.4,22.4,0.0,,11.1,1017.5
2021-05-08T00:00:00.000000000,20.4,13.9,26.0,5.1,,13.3,1015.0
2021-05-09T00:00:00.000000000,19.4,15.9,24.1,0.0,,16.0,1011.0
2021-05-10T00:00:00.000000000,17.3,13.3,22.3,0.6,,12.5,1013.6
2021-05-11T00:00:00.000000000,18.6,13.5,25.0,0.0,,17.9,1020.4
2021-05-12T00:00:00.000000000,21.9,16.4,29.4,0.0,,21.4,1019.2
2021-05-13T00:00:00.000000000,23.1,17.4,30.5,0.0,,22.3,1016.9
2021-05-14T00:00:00.000000000,23.3,17.7,31.6,0.0,,24.9,1015.7
2021-05-15T00:00:00.000000000,19.4,14.5,24.7,0.0,,13.9,1016.1
2021-05-16T00:00:00.000000000,27.3,22.1,35.6,0.0,,20.7,1013.4
2021-05-17T00:00:00.000000000,24.1,18.9,31.3,0.0,,23.7,1015.4
2021-05-18T00:00:00.000000000,19.8,18.0,23.4,0.0,,11.8,1019.8
2021-05-19T00:00:00.000000000,21.2,19.0,25.8,0.1,,16.8,1018.8
2021-05-20T00:00:00.000000000,19.3,16.7,23.3,0.0,,11.6,1022.7
2021-05-21T00:00:00.000000000,19.3,14.6,24.8,0.0,,12.5,1017.3
2021-05-22T00:00:00.000000000,23.6,17.4,32.5,0.0,,19.4,1011.8
2021-05-23T00:00:00.000000000,18.5,14.3,21.6,25.3,,10.9,1015.4
2021-05-24T00:00:00.000000000,20.1,14.3,27.2,0.0,,15.7,1020.6
2021-05-25T00:00:00.000000000,19.3,13.4,25.0,0.0,,11.0,1020.3
2021-05-26T00:00:00.000000000,19.8,17.7,23.0,0.0,,11.4,1019.4
2021-05-27T00:00:00.000000000,18.4,16.9,20.3,4.7,,7.7,1016.7
2021-05-28T00:00:00.000000000,19.5,16.3,23.5,0.0,,8.0,1016.6
2021-05-29T00:00:00.000000000,19.9,16.0,23.9,0.0,,12.4,1019.0
2021-05-30T00:00:00.000000000,20.7,17.7,24.3,0.0,,9.4,1017.6
2021-05-31T00:00:00.000000000,21.4,18.5,25.4,0.0,,10.8,1014.6
2021-06-01T00:00:00.000000000,23.2,17.4,28.6,0.0,,13.1,1011.5
2021-06-02T00:00:00.000000000,20.8,17.2,23.5,0.0,,17.2,1013.4
2021-06-03T00:00:00.000000000,20.3,16.1,25.3,0.0,,12.0,1017.5
2021-06-04T00:00:00.000000000,20.7,18.2,25.1,0.0,,8.5,1019.8
2021-06-05T00:00:00.000000000,21.2,19.0,24.3,0.9,,10.4,1021.1
2021-06-06T00:00:00.000000000,20.7,16.4,25.1,0.0,,13.8,1020.7
2021-06-07T00:00:00.000000000,22.0,16.9,26.9,0.0,,11.7,1019.8
2021-06-08T00:00:00.000000000,22.8,17.9,28.7,0.0,,11.7,1019.3
2021-06-09T00:00:00.000000000,23.3,18.2,29.1,0.0,,12.8,1019.1
2021-06-10T00:00:00.000000000,23.1,18.0,28.1,0.0,,12.3,1017.4
2021-06-11T00:00:00.000000000,23.1,18.0,28.2,0.0,,12.0,1015.5
2021-06-12T00:00:00.000000000,23.4,18.8,28.4,0.0,,10.8,1016.5
2021-06-13T00:00:00.000000000,23.7,19.8,27.7,0.0,,13.8,1018.5
2021-06-14T00:00:00.000000000,24.8,19.3,31.3,0.0,,12.0,1017.7
2021-06-15T00:00:00.000000000,24.2,21.0,28.7,0.0,,13.7,1014.6
2021-06-16T00:00:00.000000000,25.1,20.3,31.5,0.7,,12.7,1011.7
2021-06-17T00:00:00.000000000,23.7,19.7,28.6,0.0,,10.6,1012.3
2021-06-18T00:00:00.000000000,23.2,19.1,28.9,0.0,,12.5,1013.2
2021-06-19T00:00:00.000000000,22.7,19.2,27.6,0.0,,14.7,1014.9
2021-06-20T00:00:00.000000000,24.5,19.8,31.6,0.0,,15.4,1013.8
2021-06-21T00:00:00.000000000,25.1,20.9,31.0,0.0,,18.3,1012.7
2021-06-22T00:00:00.000000000,25.8,20.3,32.3,0.0,,21.1,1013.6
2021-06-23T00:00:00.000000000,22.9,18.7,28.9,0.0,,18.7,1015.3
2021-06-24T00:00:00.000000000,22.9,18.7,27.2,0.0,,10.6,1018.7
2021-06-25T00:00:00.000000000,22.9,19.7,27.4,0.0,,12.7,1019.1
2021-06-26T00:00:00.000000000,22.8,18.3,28.7,0.0,,14.7,1016.9
2021-06-27T00:00:00.000000000,25.6,17.2,34.7,0.0,,11.9,1014.0
2021-06-28T00:00:00.000000000,29.8,23.9,36.2,0.0,,22.5,1013.6
2021-06-29T00:00:00.000000000,25.4,19.2,32.2,0.0,,20.3,1014.4
2021-06-30T00:00:00.000000000,22.9,19.1,27.8,0.0,,12.0,1016.3
2021-07-01T00:00:00.000000000,23.2,20.4,27.7,0.0,,13.0,1017.2
2021-07-02T00:00:00.000000000,22.7,19.1,26.8,0.0,,9.7,1016.5
2021-07-03T00:00:00.000000000,30.8,21.8,38.2,0.0,,17.0,1014.5
2021-07-04T00:00:00.000000000,33.0,26.9,40.3,0.0,,22.3,1014.2
2021-07-05T00:00:00.000000000,27.7,23.4,31.8,0.0,,18.1,1012.9
2021-07-06T00:00:00.000000000,32.1,27.0,39.0,0.0,,22.0,1012.1
2021-07-07T00:00:00.000000000,30.2,26.1,36.0,0.0,,18.0,1014.1
2021-07-08T00:00:00.000000000,25.1,21.5,28.5,0.0,,15.7,1018.4
2021-07-09T00:00:00.000000000,25.2,22.3,29.7,0.0,,11.9,1019.1
2021-07-10T00:00:00.000000000,24.7,21.3,29.7,0.0,,11.3,1017.2
2021-07-11T00:00:00.000000000,23.9,21.3,27.9,0.0,,12.1,1015.2
2021-07-12T00:00:00.000000000,31.4,22.0,41.0,0.0,,17.3,1013.1
2021-07-13T00:00:00.000000000,25.4,21.3,29.7,0.0,,19.9,1016.4
2021-07-14T00:00:00.000000000,23.8,20.7,28.2,0.0,,9.8,1017.4
2021-07-15T00:00:00.000000000,23.7,20.3,27.9,0.0,,9.7,1017.2
2021-07-16T00:00:00.000000000,23.8,20.6,28.0,0.0,,10.8,1018.1
2021-07-17T00:00:00.000000000,24.8,20.1,31.6,0.0,,12.8,1016.5
2021-07-18T00:00:00.000000000,26.2,20.4,38.0,0.0,,11.6,1013.6
2021-07-19T00:00:00.000000000,27.5,22.4,32.9,0.0,,19.3,1012.2
2021-07-20T00:00:00.000000000,23.2,20.5,26.1,0.0,,12.1,1014.3
2021-07-21T00:00:00.000000000,23.8,19.3,29.1,0.0,,10.7,1016.3
2021-07-22T00:00:00.000000000,25.8,20.3,32.2,0.0,,13.6,1016.2
2021-07-23T00:00:00.000000000,25.9,23.4,31.1,0.0,,12.3,1013.0
2021-07-24T00:00:00.000000000,33.5,24.6,42.6,0.0,,16.8,1009.0
2021-07-25T00:00:00.000000000,32.4,27.2,38.8,0.0,,22.2,1009.3
2021-07-26T00:00:00.000000000,28.7,21.4,36.8,0.0,,19.8,1011.2
2021-07-27T00:00:00.000000000,24.9,22.3,29.6,0.0,,12.3,1014.6
2021-07-28T00:00:00.000000000,25.0,21.9,29.6,0.0,,12.9,1013.1
2021-07-29T00:00:00.000000000,25.6,23.2,30.2,0.0,,10.9,1014.5
2021-07-30T00:00:00.000000000,24.3,21.1,28.4,0.0,,13.0,1012.6
2021-07-31T00:00:00.000000000,29.5,20.4,36.8,0.0,,17.0,1012.0
2021-08-01T00:00:00.000000000,26.3,20.0,33.0,0.0,,16.2,1013.8
2021-08-02T00:00:00.000000000,23.4,18.9,29.2,0.0,,10.0,1014.1
2021-08-03T00:00:00.000000000,24.7,21.2,29.7,0.0,,13.4,1016.1
2021-08-04T00:00:00.000000000,27.1,20.5,35.7,0.0,,10.9,1014.3
2021-08-05T00:00:00.000000000,27.3,22.8,34.6,0.0,,16.3,1013.3
2021-08-06T00:00:00.000000000,27.1,20.5,37.8,0.0,,9.9,1009.3
